Ejercicio fiscal,Nombre de la Oficina,Tipo de Ocupacion,Calle,Numero,Colonia,Codigo Postal,Clave Municipio,Municipio,Clave Estado,Estado
2016,Centro Acu°cola Temazcal,Centro Acuicola,Carretera Zacapoaxtla Cuetzalan,Sin Numero,Cabeza de Tigre,73680,207,San Miguel Soyaltepec,20,Oaxaca
2016,Centro Acuicola Apulco,Centro Acuicola,domicilio conocido,Sin Numero,Apulco,73685,258,Zacapoaxtla,21,Puebla
2016,Centro Acuicola El Varejonal,Centro Acuicola,Carretera el Varejonal,Sin Numero,El Varejonal,80599,3,Badiraguato,25,Sinaloa
,Centro Acuicola Chametla,Centro Acuicola,Carretera chametla-Majaual,km. 3,Chametla,82870,16,Rosario,25,Sinaloa
2016,Oficinas centrales,Inmueble Sede,Camaron Sabalo,Sin Numero,Sabalo Country Club,82100,12,Mazatlan,25,Sinaloa
2016,Oficina Federal de Pesca La Reforma,Oficina de Pesca,Playa Acapulquito,Sin Numero,La Reforma,81680,2,Angostura,25,Sinaloa
2016,Oficina Federal de Pesca Guaymas,Oficina de Pesca,Esmeralda esquina Naranjo,Sin Numero,Ampliacion Guadalupe,85440,29,Guaymas,26,Sonora
2016,Oficina Federal de Pesca Huatabampo,Oficina de Pesca,Melchor Ocampo y Ferrocarril,Sin Numero,Centro,85900,33,Huatabampo,26,Sonora
2016,Oficina Federal de Pesca Puerto Peù§asco,Oficina de Pesca,Calle 12 Lote 1 manzana F,199,Recinto Portuario,83550,48,Puerto Pe§asco,26,Sonora
2016,Oficina Federal de Pesca Puerto Ceiba,Oficina de Pesca,5 de Febrero esquina Augusto Hernandez Olive,Sin Numero,Puerto Ceiba,86600,14,Paraiso,27,Tabasco
2016,Oficina Federal de Pesca Sanchez Magallaes,Oficina de Pesca,Avenida Aquiles Serdan esquina Revolucion,Sin Numero,Andres Sanchez Magallanez,86460,2,Cardenas,27,Tabasco
2016,Oficina Federal de Pesca Jonuta,Oficina de Pesca,La Marina,46,Centro,86780,11,jonuta,27,Tabasco
2016,Oficina Federal de Pesca Emiliano Zapata,Oficina de Pesca,Campamento General de la SAGARPA y Martin Luis Guzman,Sin Numero,Tierra y Libertad,86992,7,Emiliano Zapata,27,Tabasco
